Forma Juridica,CP,Polígono Industrial,Grupo de actividad,Subgrupo de actividad,Área de actividad
,28802,Jumapi,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Arrendataria,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Inbisa I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,El Descubrimiento,IPF: Productos con destino al mercado final,Artes gráficas,Industria
Sociedad Anónima,28806,Bañuelos,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Arrendataria,IPF: Productos con destino al mercado final,Fabricación de muebles,Industria
Sociedad Limitada,28806,Inbisa I,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Anónima,28806,Santa Rosa,IPF: Productos con destino al mercado final,Fabricación de productos farmacéuticos,Industria
,28806,Mapfre,CON: Construcción,Construcción,Construcción
Sociedad Limitada,28806,Casarrubios,Local o solar vacío,Local vacío,Locales vacíos
,28806,La Peña,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,La Garena,IAUX: Pieza o producto que se incorpora a un conjunto (Ind. Auxiliar),Industria textil,Industria
Sociedad Anónima,28806,El Pilar,EASO: Educación. Asistencia Social. Sanidad y Ocio,Actividades artísticas. recreativas y de entretenimiento,Educación. Asistencia Social. Sanidad y Ocio
Sociedad Limitada,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,La Garena,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Jumapi,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,Inbisa I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Parque Tecnológico Tecno Alcalá,IPF: Productos con destino al mercado final,Industria química,Industria
,28805,La Dehesa,SC: Servicios al consumidor final,Hostelería,Servicios
Sociedad Limitada,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28805,Europa,CON: Construcción,Construcción,Construcción
Sociedad Anónima,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camino del Cementerio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,El Descubrimiento,CON: Construcción,Construcción,Construcción
Sociedad Limitada,28805,Europa,CON: Construcción,Construcción,Construcción
,28805,Europa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,El Descubrimiento,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Inbisa II,SMA: Energía y Medioambiente,Suministro de agua. actividades de saneamiento. gestión de residuos y descontaminación,Servicios
Sociedad Anónima,28806,El Descubrimiento,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Azque,IPF: Productos con destino al mercado final,Fabricación de material y equipo eléctrico,Industria
,28806,La Garena,IPF: Productos con destino al mercado final,Industria del papel,Industria
Sociedad Limitada,28806,Carretera N II,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Anónima,28806,Camporroso,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Bañuelos,IPF: Productos con destino al mercado final,Industria del papel,Industria
,28806,La Garena,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Azque,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28802,Jumapi,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28803,Las Matillas,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Carretera N II,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
Sociedad Anónima,28806,Carretera N II,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
,28805,Fidalgo y Bazán,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Camporroso,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Antigua Carretera de Ajalvir,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Reparación e instalación de maquinaria y equipo,Servicios
,28805,Fidalgo y Bazán,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
Sociedad Anónima,28806,Casarrubios,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
,28806,Pesados,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Antigua Carretera de Ajalvir,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camporroso,UTI: Utillaje: moldes. matricería,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,Fidalgo y Bazán,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Álvarez,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,Álvarez,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Antigua Carretera de Ajalvir,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,El Val,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Los Dólmenes,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,Herle,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28805,El Val,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28802,Camarilla,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Los Dólmenes,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,La Garena,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Anónima,28806,Azque,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Casarrubios,EASO: Educación. Asistencia Social. Sanidad y Ocio,Educación,Educación. Asistencia Social. Sanidad y Ocio
,28806,Carretera N II,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Otros servicios a empresas,Servicios
Sociedad Limitada,28806,Santa Rosa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,El Nilo,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28802,Jumapi,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Antigua Carretera de Ajalvir,IPF: Productos con destino al mercado final,Fabricación de cervezas,Industria
Sociedad Anónima,28806,El Descubrimiento,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,El Descubrimiento,IPF: Productos con destino al mercado final,Industria química,Industria
,28806,Camporroso,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28805,Europa,CON: Construcción,Actividades de construcción especializada,Construcción
,28805,Alcalá I,Local o solar vacío,Local vacío,Locales vacíos
,28803,Las Matillas,EASO: Educación. Asistencia Social. Sanidad y Ocio,Actividades artísticas. recreativas y de entretenimiento,Educación. Asistencia Social. Sanidad y Ocio
,28806,Camporroso,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,La Peña,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa II,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Carretera N II,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
Sociedad Anónima,28806,La Garena,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28802,Camarilla,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Antigua Carretera de Ajalvir,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Alcalá II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,La Garena,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,El Descubrimiento,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Atakira,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28806,Mapfre,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,La Dehesa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Santa Rosa,CON: Construcción,Construcción,Construcción
,28806,Mapfre,CON: Construcción,Construcción,Construcción
,28805,Alcalá II,CON: Construcción,Construcción,Construcción
,28806,Camporroso,Local o solar vacío,Local vacío,Locales vacíos
,28805,Europa,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,El Nilo,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,Azque,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa I,IPF: Productos con destino al mercado final,Industria química,Industria
,28806,Álvarez,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Azque,IPF: Productos con destino al mercado final,Fabricación de otros productos minerales no metálicos,Industria
,28805,Alcalá I,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28805,Herle,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,La Garena,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa I,UTI: Utillaje: moldes. matricería,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28805,Parque Tecnológico Tecno Alcalá,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Información y comunicaciones,Servicios
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,Herle,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Anónima,28806,Carretera N II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Santa Rosa,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Camporroso,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
,28806,El Descubrimiento,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28803,Las Matillas,CON: Construcción,Construcción,Construcción
,28806,Camino del Cementerio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28803,Centro Empresarial Puerta de Alcalá,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Inbisa II,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Otros servicios a empresas,Servicios
Sociedad Anónima,28805,Alcalá I,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Álvarez,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Limitada,28806,Azque,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Carretera N II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Bañuelos,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28802,Jumapi,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,Arrendataria,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Pesados,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Santa Rosa,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28805,Alcalá I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Mapfre,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,El Descubrimiento,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
Sociedad Limitada,28806,Camporroso,EASO: Educación. Asistencia Social. Sanidad y Ocio,Educación,Educación. Asistencia Social. Sanidad y Ocio
Sociedad Anónima,28806,El Descubrimiento,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
,28806,Camporroso,CON: Construcción,Construcción,Construcción
Sociedad Limitada,28803,Carretera N II,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
Sociedad Limitada,28806,El Descubrimiento,CON: Construcción,Construcción,Construcción
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,El Pilar,Local o solar vacío,Local vacío,Locales vacíos
,28806,Azque,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Camporroso,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Anónima,28806,Carretera N II,IPF: Productos con destino al mercado final,Fabricación de vehículos de motor. remolques y semiremolques,Industria
,28806,Antigua Carretera de Ajalvir,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,El Descubrimiento,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28805,Europa,CON: Construcción,Actividades de construcción especializada,Construcción
,28805,El Val,CON: Construcción,Actividades de construcción especializada,Construcción
Sociedad Limitada,28806,Camporroso,CON: Construcción,Actividades de construcción especializada,Construcción
,28806,Arrendataria,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Anónima,28806,Carretera N II,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
,28806,El Descubrimiento,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Inbisa I,CON: Construcción,Actividades de construcción especializada,Construcción
,28806,Arrendataria,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades profesionales. científicas y técnicas,Servicios
,28806,Inbisa II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Mapfre,CON: Construcción,Actividades de construcción especializada,Construcción
Sociedad Anónima,28806,Azque,SMA: Energía y Medioambiente,Suministro de agua. actividades de saneamiento. gestión de residuos y descontaminación,Servicios
Sociedad Limitada,28806,Azque,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
Sociedad Limitada,28806,Camporroso,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,El Pilar,CON: Construcción,Actividades de construcción especializada,Construcción
,28803,Las Matillas,CON: Construcción,Construcción,Construcción
Sociedad Limitada,28806,Inbisa II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Camporroso,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,La Garena,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Información y comunicaciones,Servicios
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Mapfre,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
,28806,Pesados,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Mapfre,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28802,Camarilla,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Mapfre,IPF: Productos con destino al mercado final,Artes gráficas,Industria
Sociedad Anónima,28803,Carretera N II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Álvarez,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,El Descubrimiento,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Casarrubios,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Inbisa II,SC: Servicios al consumidor final,Actividades de alquiler,Servicios
,28806,El Pilar,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,La Garena,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Camino del Cementerio,CON: Construcción,Construcción,Construcción
